,playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,nameFull
1855,britoti01,1972.0,5.0,28.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Tilson,Brito,Tilson Manuel,170.0,72.0,R,R,4/1/1996,9/28/1997,britt001,britoti01,Tilson Manuel Brito
1856,brittch01,1982.0,12.0,16.0,USA,FL,Hollywood,,,,,,,Chris,Britton,Christopher Daniel,275.0,75.0,R,R,4/12/2006,9/26/2008,britc001,brittch01,Christopher Daniel Britton
1857,brittdr01,1989.0,5.0,22.0,USA,TX,Waco,,,,,,,Drake,Britton,John Drake,215.0,74.0,L,L,7/20/2013,9/28/2014,britd001,brittdr01,John Drake Britton
1858,brittgi01,1891.0,9.0,21.0,USA,KS,Parsons,1983.0,6.0,20.0,USA,KS,Parsons,Gil,Britton,Stephen Gilbert,160.0,70.0,R,R,9/20/1913,9/23/1913,britg101,brittgi01,Stephen Gilbert Britton
1859,brittgu01,1909.0,11.0,29.0,USA,NC,Wilmington,1974.0,2.0,16.0,USA,NC,Wilmington,Gus,Brittain,August Schuster,192.0,70.0,R,R,7/22/1937,9/15/1937,britg102,brittgu01,August Schuster Brittain
1860,brittja01,1924.0,3.0,4.0,USA,IL,Athens,1994.0,1.0,5.0,USA,IL,Springfield,Jack,Brittin,John Albert,175.0,71.0,R,R,9/15/1950,5/13/1951,britj102,brittja01,John Albert Brittin
1861,brittji01,1856.0,2.0,25.0,USA,NY,Brooklyn,1923.0,2.0,28.0,USA,CA,San Francisco,Jim,Britt,James Edward,,66.0,,,1872-05-02,1873-11-01,britj103,brittji01,James Edward Britt
1862,brittji02,1944.0,3.0,25.0,USA,NY,North Tonawanda,,,,,,,Jim,Britton,James Allan,225.0,77.0,R,R,9/20/1967,9/25/1971,britj101,brittji02,James Allan Britton
1863,brittza01,1987.0,12.0,22.0,USA,CA,Panorama City,,,,,,,Zach,Britton,Zachary Grant,195.0,75.0,L,L,4/3/2011,9/28/2014,britz001,brittza01,Zachary Grant Britton
1864,brizzto01,1957.0,1.0,14.0,USA,CA,Santa Monica,,,,,,,Tony,Brizzolara,Anthony John,215.0,77.0,R,R,5/19/1979,9/28/1984,brizt001,brizzto01,Anthony John Brizzolara
1865,broacjo01,1909.0,10.0,3.0,USA,MA,Lawrence,1985.0,5.0,16.0,USA,MA,Lawrence,Johnny,Broaca,John Joseph,190.0,71.0,R,R,6/2/1934,9/23/1939,broaj101,broacjo01,John Joseph Broaca
1866,broadla01,1983.0,8.0,20.0,USA,TX,Bryan,,,,,,,Lance,Broadway,Lance Daniel,210.0,74.0,R,R,9/7/2007,9/26/2009,broal001,broadla01,Lance Daniel Broadway
1867,brobepe01,1950.0,3.0,2.0,USA,FL,West Palm Beach,,,,,,,Pete,Broberg,Peter Sven,205.0,75.0,R,R,6/20/1971,10/1/1978,brobp101,brobepe01,Peter Sven Broberg
1868,brocado01,1967.0,5.0,16.0,USA,PA,Clearfield,,,,,,,Doug,Brocail,Douglas Keith,220.0,77.0,L,R,9/8/1992,10/2/2009,brocd001,brocado01,Douglas Keith Brocail
1869,brockch01,1970.0,2.0,5.0,USA,FL,Orlando,,,,,,,Chris,Brock,Terrence Christopher,175.0,72.0,R,R,6/11/1997,9/28/2002,brocc001,brockch01,Terrence Christopher Brock
1870,brockgr01,1957.0,6.0,14.0,USA,OR,McMinnville,,,,,,,Greg,Brock,Gregory Allen,200.0,75.0,L,R,9/1/1982,6/28/1991,brocg001,brockgr01,Gregory Allen Brock
1871,brockjo01,1896.0,10.0,16.0,USA,IL,Hamilton,1951.0,10.0,27.0,USA,MO,Clayton,John,Brock,John Roy,165.0,66.0,R,R,8/10/1917,9/2/1918,brocj101,brockjo01,John Roy Brock
1872,brockle01,1880.0,7.0,23.0,USA,IL,Brownsville,1960.0,9.0,19.0,USA,IL,Norris City,Lew,Brockett,Lewis Albert,168.0,70.0,R,R,4/25/1907,7/26/1911,brocl101,brockle01,Lewis Albert Brockett
